Professor_ID,Avg_Rating,Total_Ratings,Professor_Name,Department,Would_Take_Again,Avg_Difficulty
3074777,4.9,122,Bluebell CPP cat,Agriculture,98%,2.2
1805649,2.6,47,Jesus Magaña,Mathematics,31%,3.8
2390974,1.9,20,Jamshid Nazari,Computer Science,20%,4.4
2881267,3.1,17,Michael Youssef,Engineering,53%,3.1
2351740,2.5,15,Shuo Zeng,Business,54%,4.6
2781602,3.8,5,Lisa Brownfield,Urban & Regional Planning,60%,3.4
1846864,4.3,31,Xuesong Zhang,Computer Science,80%,2.3
617084,3.3,18,Nadim Itani,Architecture,38%,3.3
2559378,1.8,10,Ahmed Nasr,Engineering,20%,3.7
2911068,3.9,8,Jeffrey Ray,Graphic Arts,75%,1.5
2108297,4,74,John Ngo,Mathematics,74%,3.2
1951683,2.9,63,Bharti  Sharma,Biology,64%,3.4
2205003,3.2,47,Sidi Benzahra,Physics,60%,3.6
2322235,3.1,40,Mahnaz Nargesi,Mathematics,48%,4
2351654,3.8,37,Shelley Natale,Communication,68%,3.1
2469399,2.1,34,Matthew Aivazian,Mathematics,24%,3.9
923186,2.9,34,Gregory Carlton,Computer Science,44%,3.9
2514950,4.1,29,Carlin Crisanti,Political Science,76%,2.9
2281603,2.7,29,Maha Ghosn,Marketing,49%,3.5
2527096,3.9,25,Simeng Li,Engineering,72%,3.5
2655067,3.1,23,Victor Hernandez-gaytan,Engineering,48%,3.1
672738,2.9,21,Biman Ghosh,Engineering,38%,3.1
2702890,1.8,21,Diba Yadegari,Engineering,20%,4.3
2692602,4.2,21,Amirfarshad Bahrehbakhsh,Physics,86%,2
2322266,2.7,18,Tamer Omar,Engineering,50%,3.7
2218471,3.3,13,Yongping Zhang,Engineering,77%,3.2
2609337,2.7,9,Krishna Sigdel,Physics,34%,3.6
2002331,5,8,Giuseppe Lomiento,Engineering,100%,2.8
2825039,1.4,5,Weijun Zheng,Computer Information Systems,0%,3.6
2825688,3,2,Jeff Thompson,Engineering,50%,4
749322,2.5,67,Han Dang,Chemistry,35%,3.9
2559929,4.1,62,Anthony Antonucci,History,71%,3.3
660750,2.4,49,Gregrey Hunter,Economics,27%,3.5
2851875,4.4,12,Jonathan Dugan,Mathematics,92%,3.1
2321634,1.4,8,Abdul Sadat,Engineering,13%,3.9
1802510,2.8,103,Warren Wood,History,42%,3.5
212880,2.7,79,Joe Casalnuovo,Chemistry,39%,4.1
1978103,2.8,19,Martin Young,Philosophy,48%,2.3
3037265,3.5,2,Dan Luo,English,50%,2.5
1982140,4.7,138,Pinar Tremblay,Economics,93%,2.8
1051003,3.2,101,Luis Bohon,Political Science,50%,3.8
2412727,4.7,74,Pinar Tremblay,Political Science,94%,2.1
1612826,4.1,62,Jennifer Mahlke,Communication,72%,3.3
1935794,2.4,54,Roman  Garagulagian,Finance,35%,4.1
2958259,5,16,Jamie Thomas,Mathematics,100%,1.5
2829559,2.5,2,Kenji Baril,Electrical Engineering & Computer Science,50%,3
698145,3.7,78,Alane Daugherty,Health Science,60%,1.8
2310300,3.2,49,Christos Tzounis,Physics,62%,3.4
2355230,3.3,41,Jason Baumwirt,Communication,49%,3.5
2382858,2.2,26,Zahra Sotoudeh,Engineering,20%,3.6
2832409,4,3,Jeehye Kim,Architecture,67%,5
2376259,3.3,38,Kevyn Gardner Ricossa,Chemistry,66%,3.8
2532296,4.9,33,Megan Hoppock,Biology,100%,2
2398844,3.6,31,Stefan Bund,Business,70%,1.7
2818898,3.9,18,Danica Cariaga,Computer Science,78%,2.3
2481961,3.3,14,Kathryn McCulloch,Chemistry,50%,4.2
1625900,4.8,50,Alberta Miranda,English,96%,2.8
2441427,2.1,40,Christopher Ruh,Communication,23%,3.7
2280428,2.5,31,Donald Prothero,Geography,30%,4.3
1296276,3,19,Tracy McDonald,Mathematics,40%,3.8
660952,3.6,55,Laurie Starkey,Chemistry,65%,4.1
2238743,2.9,34,Joonho Lee,Accounting,42%,3.8
2815242,3.5,30,Keivan Navi,Computer Science,70%,2.6
1385341,2.3,22,Juliann Wolfgram,Art History,35%,3.6
2831493,1.9,13,Yufan Lin,Business,16%,4.5
2831617,2.9,10,Ardeshir Ghaffari,Mathematics,40%,3.9
2239848,2.7,63,Stephen Campbell,History,42%,3.3
1864903,3.1,62,Saba Ali,Mathematics,53%,3.7
2093829,4.7,55,Karen Amagrande,Mathematics,93%,2.9
1839464,3,53,William Plummer,English,39%,3.7
1448147,2.2,40,Erik Jackiw,Philosophy,30%,3.4
2465058,2.9,35,Timothy Cobler,Mathematics,52%,3.9
2185376,4.4,32,Theresa Casey,English,91%,2.4
1968173,4,26,Alexander Novack,Philosophy,74%,2.5
2482056,2.2,25,Franciella Jaimes,Communication,16%,4
1071804,3.4,10,Wei Yu,Finance,43%,3.2
2785555,3.8,18,Rebeccah Avila,Communication,78%,2.5
3031605,4.2,6,Ken Zhang,Business,84%,3.2
2683747,2,3,Christopher McNamara,Engineering,34%,3.7
1784816,4.3,38,Jason Chang,Economics,85%,2.4
2769592,3.3,30,Mark Fotohabadi,Business,54%,3.6
2335684,1.9,56,Amy Essington,History,15%,4.3
2300064,1.9,43,Angela Jensvold,Physics,17%,4.3
2698795,3.9,19,Claudia Salazar Jimenez,Languages,74%,3.4
2297366,1.5,15,Javad Kashefi,Business,7%,4.5
2650700,1.6,12,Joseph McHugh,Agriculture,17%,3.5
2118666,4.6,12,Charles White,Theater,82%,2.5
2829993,3.7,7,Bronwyn Horton,Chemistry,72%,3.4
3066122,1,1,Jeffrey Robbins,Mathematics,0%,5
1704991,4.5,35,Shayda Kafai,Ethnic Studies,90%,2.3
2592267,3.4,19,Jodye Selco,Chemistry,74%,3.4
2912721,5,4,Michael Times,Social Work,100%,2.5
3054856,4.8,4,Roland Ernst,Chemistry,100%,2.3
3077609,5,1,Omer Odabas,Computer Science,100%,4
1927622,1.9,61,Eric McDowell,Engineering,26%,3
2524506,2.1,42,Comron Nouri,Physics,24%,4
2246368,2.4,27,Greg Placencia,Engineering,38%,3.6
2173435,5,17,Nolan Tsuchiya,Engineering,100%,2.8
726618,1.4,53,Weiqing Xie,Mathematics,5%,4.4
2567058,2.9,15,Marci Katznelson,Music,40%,2.5
2925065,2.4,7,Dylan Stover,Mathematics,29%,3.9
2332262,2.3,61,Valerie Nichols,Chemistry,30%,4
2085105,1.8,10,Karoline  Harrison,Agriculture,12%,4.2
826245,3.1,23,Karen Vaughn,Mathematics,34%,3.5
2306997,4.8,18,Mohamed Gomaa,Accounting,100%,2.4
2043525,4.5,37,Nicole Hammack,Agriculture,82%,1.9
2905931,5,2,Juan  Castaneda,Engineering,100%,2
1077245,2.2,58,Michael Jue,Engineering,20%,2.9
1820525,3.1,31,Peter Arensburger,Biology,57%,3.7
2506962,4.7,28,Eduardo Corpuz,Engineering,97%,1.3
848939,2.2,24,Saeed Monemi,Engineering,30%,3.3
2185628,4.2,21,Terry Steagall,English,86%,3
2495077,3.8,17,Maya Kasfy Prytherch,Mathematics,69%,3.2
2249590,1.9,16,Wendy Dixon,Biology,19%,3.3
1691239,3.1,13,Hayri Ozkaya,Business,46%,3
3032066,1.3,3,Shervin Taghavi,Engineering,0%,5
2300050,4.6,61,Raymund Waung,Physics,94%,3.3
1990862,4.1,49,David Cheetham,Anthropology,72%,2.4
2427193,4.9,49,Zaw Naing,Chemistry,100%,2.6
2253813,4.5,40,Jun Pan,Physics,93%,2.9
1294072,4.3,40,Linh Phan,Physics,85%,2.7
2464159,1.6,29,Thanga Dasamoni,Engineering,11%,3.9
2448622,4,18,Moe Rabea,Engineering,84%,2.5
2463837,4.3,12,Marta AmirSadeghi,Engineering,84%,3.8
2123298,1.8,10,Tracey Takeuchi,Agriculture,20%,4.2
1470848,2.6,8,Mingheng LI,Engineering,50%,4
2070165,3,5,Douglas Kent,Architecture,40%,3.4
3015979,2,1,Tatiane Lima,Biology,0%,5
2115684,3,70,Mohsen Sahebjame,Business,54%,3.9
319241,2.8,67,John Wyatt,Business,25%,4
378182,2.3,28,Ahmad Sohrabian,Finance,39%,3.9
1583545,3.7,22,Olga Griswold,English,70%,3.6
2654196,2.3,9,Ha Le,Engineering,34%,4.3
3025920,5,5,Fatemeh Jamshidi,Computer Science,100%,3
3071643,3.5,2,Elda Dervishi,Agriculture,50%,2.5
1476275,3.6,50,Ray Hudson,Engineering,62%,3.6
2528152,1.1,26,Sara Khair,Mathematics,4%,4.9
2704661,2.7,25,Fatheema Subhan,Agriculture,38%,3.5
3025941,5,2,Jasmine  Tejeda Michel,Biology,100%,2
2653608,2.7,20,Manuchehr Aminian,Mathematics,40%,4
2085099,3.9,8,Jessica  Yu,Culinary Arts,86%,3.8
2350004,4.7,31,Daniel Bortis,Mathematics,94%,2
2680327,3.1,17,Dana Marshall,Communication,53%,4.2
2937783,4.3,4,Sophia Gaitan,Agriculture,100%,2.5
2213265,2,72,Tony Diaz,Computer Science,24%,3.7
1048731,2.4,42,Felicia Thomas,Psychology,31%,3.7
2472395,1.6,42,Brenda Fernandez Lango,Biology,17%,4.1
2311462,2.4,27,Joshua Paolini,Biology,45%,3.9
2356094,3.6,25,Kumar Jata,Chemistry,72%,2.1
884997,4.7,21,Donald Kraemer,English,94%,2.6
2480691,3.9,17,Nancy Quintanilla,English,77%,2.9
1551663,4,16,Zuoyue Wang,History,77%,3.7
2523332,1.5,8,Irma Ramirez,Architecture,0%,3.9
2593299,3.8,33,Steven Dobbs,Engineering,70%,2.8
2503952,3.7,30,Bryan Sullivan,Chemistry,64%,3.2
2973581,3,3,Burton Yale,Engineering,67%,3
1829459,2.3,2,Lorraine Cuadra,Psychology,0%,3.5
2042583,4.4,29,Daniel McCarthy,Science,89%,2.8
2524891,4.2,33,Huyen Le,Mathematics,85%,3
2825901,1.6,14,Marimas Mostiller,Ethnic Studies,0%,4.4
3043109,4.6,5,Alvaro Bermudez,Engineering,100%,2.4
2877719,5,3,Jaime Yamashita,Landscape Architecture,100%,3
1971499,4.3,48,Edmond Wu,Economics,79%,2.7
624600,2.8,32,Glenn Kageyama,Biology,37%,3.6
2118234,3.9,22,Mary Im,Accounting,78%,3.7
2541451,4.8,17,Luca Struble,Philosophy,95%,2.9
2544025,3.3,17,Lee Schuh,Law,71%,3.1
1150731,1.4,15,Michael Fox,Architecture,16%,4.3
2829566,4.8,11,Muriel Fernandez,Landscape Architecture,91%,2.5
2897237,5,4,Cuong Duong,Engineering,100%,1.3
2172554,2.3,57,Bohdan Schatschneider,Chemistry,27%,4.6
2496438,4,42,Koffi Enakoutsa,Mathematics,70%,2.4
2535691,4.5,28,Cody Trojan,Political Science,93%,2.5
1969503,3.6,21,Fidel  Arnecillo,Philosophy,70%,2.7
2284289,1.6,17,Maryam Shafahi,Engineering,18%,4.2
2167043,3.6,17,Aaron Roy,Physics,71%,3.1
3033986,4.3,10,Sujoy Modak,Physics,90%,2.5
2944199,3,3,Matt Vaezi,Engineering,67%,3.7
3025829,5,3,Brianna Posadas,Computer Science,100%,2
3036007,5,1,Francisco Olivas,Engineering,100%,2
1041983,2.6,67,Michael Nasab,Mathematics,40%,4
969481,4.3,31,M. Assumma,Business,81%,2.1
2961966,3.7,3,Hyunkyoung Yoon,Mathematics,67%,2.3
3029231,5,1,Rohit Bhide,Chemistry,100%,2
742817,4.1,51,Wai- Tak Chan,Mathematics,75%,3.2
731210,2.9,50,Anthony Oshinuga,Mathematics,48%,3.8
2094463,2.2,44,Cynthia Nguyen,Mathematics,29%,4
2102686,4.1,41,James Ciment,History,75%,2.4
2056277,4.4,17,Steven  Jasso,Physics,82%,2.8
749302,3.2,37,Kurt Vandervoort,Physics,52%,3.9
1911339,3.9,17,Paul Nissenson,Engineering,80%,3.2
2933656,5,10,Crisrael Lucero,Computer Science,100%,3.2
2054356,3.3,49,Randy Stein,Marketing,62%,3.7
2494908,2.6,47,Devika Maini,Computer Information Systems,41%,3.1
2097249,3.9,30,Jennie Watson,English,69%,3.1
1030761,1.9,58,Thanh Nguyen,Computer Science,25%,4.5
2344693,3.9,48,Alberto Sahagun,History,73%,2.2
2312633,4.7,40,Katie Schorr,English,95%,1.8
55232,3,31,Daniel Lewis,History,65%,4.2
2665142,2.5,14,Andrea Bonisoli-Alquati,Biology,72%,3.6
331610,2.8,12,Sarah Meyer,Graphic Arts,60%,4.2
2607453,4.3,10,Ivana Cvetkovic,Communication,70%,3.3
2121772,4,10,Nell Horowitz,Communication,70%,3.4
2867138,3.3,4,Li  Lei,Mathematics,50%,3.8
2753968,4.4,28,Sanaa Saykali,Mathematics,83%,2.9
964643,3.3,18,Greisy Winicki-Landman,Mathematics,50%,2.8
2329577,2.6,16,Christos Stathopoulos,Biology,50%,3.8
2626980,3.1,14,Kwon Mun,Business,58%,2.7
2507129,4.2,5,Alane Daugherty,Physical Education,80%,1.8
2803855,5,2,Christine Anderson,Mathematics,100%,1.5
2374937,4.7,46,Douglas Cooney,Film,94%,1.5
894415,2,41,Amir Rezaei,Engineering,36%,3.6
2712504,2.6,27,Jin Sung Cho,Engineering,38%,3.9
3000259,3.5,11,Christa  Larino,Chemistry,73%,2.8
2078126,3.4,6,Chantal  Stieber,Chemistry,50%,3.2
3035417,5,4,Samya  Faraj,Mathematics,100%,2.3
2790760,3.8,4,David Owens,Engineering,75%,3
2940801,3,2,Paloma Zarazua,Biology,50%,1.5
3069079,3,1,Ashley Bartling,Biology,0%,2
2598799,4.9,49,Alnald Javier,Chemistry,100%,2.6
461944,4.2,44,Samir Anz,Chemistry,80%,3.3
1989690,3.4,42,Rodney  Hume-Dawson,Education,59%,2.2
2271800,3.8,37,Aileen Lau,Mathematics,68%,3.7
2525364,4.9,37,John Sylvain,Theater,100%,1.3
2396553,2.3,35,Vanessa Kettering,Psychology,40%,3
812334,3.9,28,Julie J. Nazareth,Physics,84%,2.8
2633058,2.9,14,Janel Ortiz,Biology,43%,3.4
2277621,4.3,11,Jonathan Puthoff,Engineering,82%,2.6
2628631,3,8,Laila Jallo,Engineering,50%,2.8
3025828,2.3,4,Nhi Nguyen,Computer Science,50%,3.5
1627837,4.2,41,Andrew Davis,Interdisciplinary General Ed.,81%,2.3
2088640,1.8,29,Marcus Elam,Agriculture,23%,4
2566395,3.6,9,Nike St. Clair,Music,78%,3.3
3044690,3,4,Laura Epperson,Theater,25%,4
2904676,3,3,Laura Pitts,Music,67%,3.3
243091,3.4,55,Dr. Thomas Keith,Philosophy,32%,3.6
678724,2.5,27,Eugene Lipovetsky,Engineering,29%,4
541052,4.8,25,Jennifer Switkes,Mathematics,93%,2.5
2141594,4.2,11,Reza Lakeh,Engineering,100%,3.2
2903758,5,6,Jared Cuellar,Political Science,100%,1.8
2414532,5,3,Brady Collins,Political Science,100%,2
1679894,4.1,93,Brandon King,Science,80%,3
238762,3.2,61,Devon Hackelton,English,55%,3.5
958867,4.1,41,Babak Boloury Azad,Engineering,70%,4.3
2282270,4.5,36,Ryan Lee,Mathematics,92%,2.8
2331143,4.5,35,Uyen Nguyen,Mathematics,89%,3.5
2731229,4.8,21,Amber Freeland,Agriculture,100%,1.5
2203582,2,17,Kyu-Jung Kim,Engineering,24%,4.4
2644932,3.8,16,Omolade Owoleke,Agriculture,57%,2.3
698792,3.5,15,Kamran Abedini,Engineering,46%,3.1
2559023,4.6,12,Alison Baker,English,84%,2.6
2120130,2.6,11,Tiffany Smith,Education,46%,2.3
2935985,3.1,10,Daniel Gonzalez,Engineering,70%,3
2486235,3.8,8,Do Kim,Urban & Regional Planning,63%,3.6
2497090,4.3,36,Brittany Bell,Psychology,95%,2.3
973017,4.4,31,(Bernardus) Ben Dewald,Hospitality,91%,1.6
2430831,4.9,31,Mark Generous,Communication,97%,3.2
2427709,3.7,22,Arabo Gharibian,Engineering,78%,2.8
2352523,4.6,21,Susan Croteau,Art History,91%,2.3
2877718,1.7,18,Iris Patten,Landscape Architecture,17%,4.4
2832413,2.7,11,Robert Clarke,Architecture,46%,4
3033096,1.9,8,Mozammal Chowdury,Engineering,13%,4.4
2563277,4.6,7,Fernando Lopez Garcia,Mathematics,100%,2.9
2697195,2.8,4,AnnaLyce Brockham,Agriculture,50%,3.5
2980519,3.7,3,Mirette  Morcos,Political Science,67%,2.7
3033758,1,2,Bangwei  Zhang,Engineering,0%,1.5
1985109,4.3,76,Charles Delgadillo,History,91%,2.3
1568156,3.6,69,Joseph Rhee,Physics,67%,3.3
2230032,4.6,50,Thang Nguyen,Business,88%,3.7
848940,2.6,43,Ali R Ghaneh,Engineering,41%,4.2
12585,4.6,42,Timothy Cortina,English,94%,2.3
2499305,3.3,34,Mostafa Yazdy,Engineering,68%,2.3
2555489,4.2,25,Silvia Cruz-Pobocik,Communication,76%,2.4
2654471,2,8,Emily Kiresich,Agriculture,13%,4.6
2859290,3.8,6,Pezhman Hassanpour,Engineering,84%,3.7
3043575,1.4,5,Iyabo  lawal,Engineering,0%,2.4
3060299,5,2,Steve  Lin,Sociology,100%,1
1991508,4.6,87,Jennifer Hirakawa,Chemistry,94%,2.6
2067911,3.8,29,Leslie Sullivan,Accounting,77%,3.1
2563073,4.6,26,Mehdi Haghighi,Political Science,93%,2.2
1023988,3.8,21,Yam Lee,Engineering,80%,3.3
2352162,3.4,21,Timothy Corcoran,Chemistry,62%,4.1
2320044,3.4,18,Lori Stuntz,Music,56%,3
2201882,4,16,Sunny Lie,Communication,69%,3.4
2568581,4.5,10,Scott Little,Business,90%,1.7
2792106,2.2,10,Ashley Rivera,Geology,20%,4.1
2950682,4.8,5,Asal  Alimirzai,Languages,100%,2
2773378,3.3,4,Su Shin,Apparel Merchandising,50%,4.3
3016659,2.7,3,Antonio Anfiteatro,Architecture,34%,3.7
3027249,4,2,David  Dennis III,Chemistry,100%,3.5
116511,4.4,73,Laura Pohopien,Business,82%,2
1976001,4.2,51,Mariano Baez,Economics,86%,2.7
2494434,3.8,42,Charlie Royas,Engineering,74%,2
2438573,4.9,27,Alexander Madva,Philosophy,97%,2.6
73923,4.5,25,Lin Wu,Geography,80%,2.6
2377282,4.7,20,Robert Lewis,History,85%,2.8
2664971,4.1,19,Gordon Andy Anderson,Accounting,85%,2.2
2579575,2.5,13,Anthony Kim,Marketing,24%,3.9
2549803,5,8,Holly-Lynn Chartier,English,100%,2.3
2652312,4.3,7,Anthony Mittskus,Engineering,86%,3.6
2088787,2.2,59,Stephen Smith,Physics,30%,4.1
2524741,3.3,53,Nathan Tung,Physics,59%,3.5
2322230,2.4,52,Tannaz Damavandi,Computer Science,37%,3.7
2344380,4.5,31,Jiahui Yao,Mathematics,88%,3.6
2815042,4.7,30,Taylor Thane,Chemistry,90%,3.2
1823866,4.9,27,Vernon Snyder,Music,100%,1.3
2489662,4.6,11,Calvin Thach,Mathematics,91%,2.6
3049407,5,5,Sonal Priya,Chemistry,100%,2.2
3065105,4,1,Sonia Brenner,Architecture,100%,3
549734,4.2,43,Punkaj Gupta,Mathematics,92%,3.7
708767,4.1,24,Alan Krinik,Mathematics,79%,3.2
264074,3,51,Alexis A. Gray,Anthropology,42%,3.4
1482919,3.6,42,Kristine Fish,Kinesiology,70%,2.3
2168676,4.5,42,Deborah Korneff,Mathematics,91%,2.6
2210505,4.1,30,Michael Fauson,English,84%,3
2683399,4.9,16,Brian Kim,Philosophy,100%,3
2815743,5,6,Manuel Macias,Art History,100%,1.3
2941807,5,5,Jason Lee,Biology,100%,1.6
3024754,4.4,5,Stephanie Perez,Health Science,80%,1.2
3038265,4.6,5,Holly He,Accounting,100%,3
714208,4.5,91,Christopher Bates,History,82%,2.2
1891900,4.9,39,Kimberley Miller,Agriculture,98%,1.8
2304566,4.4,21,Tyler Vincent,English,96%,2.6
2699278,3.6,16,Mahendran Adaickapillai,Chemistry,69%,3.7
2558682,5,7,Elli Menounou,Political Science,100%,1.7
2599685,4.2,16,Ryan Szypowski,Mathematics,82%,3.6
1403492,4.6,12,Behnam Samareh,Architecture,80%,3.6
2448129,3.2,10,Bejan Maghsoodi,Engineering,60%,4
2792391,4.9,7,Ali Kowsari,Accounting,100%,1.9
2963895,3.1,7,Michael Thompson,Mathematics,43%,3.6
3044869,4,1,Amy  Hua,Chemistry,100%,1
3070274,5,1,Christine Lundahl,Music,0%,2
1730513,4.7,81,Stephanie Marin Rothman,Biology,98%,1.8
1542860,4.8,80,Dale McCabe,Biology,98%,1.6
796485,2.5,54,Paivi Hoikkala,History,18%,4
1884910,3.6,52,Kevin Carpenter,Biology,80%,2.6
589893,4.6,45,Kristy K Hodson,English,97%,2.5
2347677,3.8,37,Erin Bullard,Mathematics,68%,3.1
1994070,3.3,36,Mei Klein,Engineering,65%,3
470188,4.7,36,Peg Lamphier,History,100%,1.8
1324216,1.5,29,George Rainey,Physics,4%,4.6
2444419,4.8,24,Lesley Butler,Hospitality,92%,2.2
2512367,3.9,23,Caryn Gerstenberger,Criminal Justice,70%,3.3
1663210,4.7,21,Anthony Ocampo,Sociology,100%,2
2667565,4.4,18,Katherine Kinkopf,Anthropology,84%,2.5
2007030,4.6,16,Mohamadali  Sharbatmaleki,Engineering,100%,2.9
2293336,4.2,16,Alvaro Huerta,Architecture,82%,1.8
2547357,3.8,14,Jorge Botana Alcalde,Physics,79%,3.1
2981675,2.1,10,Hamed Toudeshki,Engineering,20%,3.1
2368766,2.2,5,Joanne Sohn,Agriculture,20%,3.4
3032709,3.8,4,Alex Figueroa,Engineering,75%,2.5
2933840,4.7,3,Annalise  Fonza,Urban & Regional Planning,100%,3
2968057,5,1,eliana Moisa,Biology,100%,4
496114,4.8,40,Raj K Singh,Management,100%,1.8
368343,3.1,38,Melissa Aaron,English,44%,2.9
1860213,3.7,37,Sara Langford,Psychology,68%,3.2
2321947,2.1,36,Nick Nikpour,Engineering,31%,3.8
1073579,2.8,25,Wenge Zhu,Technology & Operations Mgmt,50%,3.5
2117664,4.4,15,Demetrius Trokkos,Political Science,93%,1.5
2492015,5,7,Emma Price,Architecture,100%,3.1
3025830,4.8,4,Kalin Zaluzec,Computer Science,100%,2
1541324,2.8,37,Gwynn Markle,Philosophy,33%,3.3
2561125,2.3,30,Abbas Hosseini,Mathematics,34%,4
1825851,3.1,24,Walter Christensen,Physics,46%,2.5
1959848,4,17,Mario Guerrero,Political Science,72%,3.4
2601718,1.4,14,Tariq Qayyum,Engineering,8%,4.4
2800574,4.2,14,Kristopher Powers,Engineering,58%,2.4
2971670,4.8,6,Marcos Scauso,Political Science,100%,2.7
2476766,3.8,23,Siamak Yazdani,Engineering,79%,3.3
2556991,4.9,16,Esther Vogel,Languages,100%,1.5
2672379,3.7,3,Claire Whang,Apparel Merchandising,67%,4
2173880,4.5,44,Stephen Parise,Philosophy,89%,2
1966332,4,38,Kristin Tamayo,English,73%,3.3
371055,4.7,33,James Kang,Engineering,100%,2.5
1222527,2.3,24,"Hong-Chuan ""Tim"" Lin",Engineering,22%,3
2742105,1.9,22,Ali Ozer,Physics,14%,4.1
2654477,3.1,18,Felix Pinai,Engineering,56%,4.1
2550620,3.4,14,Alireza Yazdani,Management,58%,3.4
2017212,4.3,10,Sharyn Fisk,Accounting,67%,3.7
2668184,4.6,9,Maral Harirchi,Mathematics,100%,2.1
3056321,2.4,9,Sedat Ozer,Engineering,34%,4.3
1103020,3.9,8,Keiji Uesugi,Landscape Architecture & Regional Planning,80%,3.6
2529104,4.1,7,Hyoung Kim,Engineering,86%,3.7
2899908,3.8,4,Claudine Papillon,Ethnic Studies,100%,1.5
1765104,3.2,71,Rosie Nawpar,Physics,64%,3.4
2472369,4.9,25,Kevin Bailey,Mathematics,96%,2.7
1965816,4.1,21,Paul Beardsley,Biology,89%,2.9
2235509,3.9,17,Homeyra Sadaghiani,Physics,71%,3.5
320025,4.6,14,Berit Givens,Mathematics,100%,2.6
2725408,3.2,6,Ann Zhang,Mathematics,67%,3.7
2756525,4.6,5,Michael Jung,Music,100%,1
3036095,5,1,Miranda Aiken,Agriculture,100%,1
2936028,5,1,Jason  Zhang,Hospitality,100%,1
708551,4.1,59,Stephen Elias,English,80%,3.2
1152493,4.1,49,Ekaterina Chernobai,Finance,81%,3.8
752415,3.1,43,Vida P Jonas,English,52%,2.7
2213011,3.6,38,Jung-Jin Choi,Mathematics,66%,3
2020185,5,30,Zeynep Aytug,Management,100%,2.4
2484349,4.9,29,Anthony Orlando,Business,94%,3.2
2238939,2,25,Trina Nguyen,Mathematics,20%,3.6
2413489,4.8,22,Rachel Sanchez,Biology,100%,1.4
2724741,4.5,10,Sasoun Torousian,Engineering,100%,2.8
